,Age Range,Industry,Job Title,Creative Artist Status
19 to 25,4.0,,,
26 to 39,3.0,,,
39 to 50,2.0,,,
Under 18,1.0,,,
50 and over,1.0,,,
illustration,,1.0,,
Game Development,,1.0,,
Software,,1.0,,
Web/Software Development,,1.0,,
IT,,1.0,,
Software Develepment,,1.0,,
Student,,1.0,1.0,
"Graphic, web and sound design.",,1.0,,
nan,,,2.0,
owner,,,1.0,
Game Designer,,,1.0,
Software Engineer,,,1.0,
N/a,,,1.0,
Implementation Specialist,,,1.0,
Software Developer,,,1.0,
Writer photographer ,,,1.0,
Boss.,,,1.0,
Yes,,,,6.0
No,,,,5.0
