Image,Correct Value,Total Correct,Percent Correct,Dominant Classification
Image 1,AI-generated,10,90.9090909090909,AI-generated
Image 2,Human-created,5,45.45454545454545,AI-generated
Image 3,Human-created,9,81.81818181818183,Human-created
Image 4,AI-generated,9,81.81818181818183,AI-generated
Image 5,AI-generated,10,90.9090909090909,AI-generated
Image 6,Human-created,9,81.81818181818183,Human-created
Image 7,Human-created,9,81.81818181818183,Human-created
Image 8,AI-generated,10,90.9090909090909,AI-generated
Image 9,Human-created,10,90.9090909090909,Human-created
Image 10,AI-generated,7,63.63636363636363,AI-generated
Image 11,Human-created,10,90.9090909090909,Human-created
Image 12,AI-generated,3,27.27272727272727,Human-created
